stn,date,sd_max,sd_max_time,sd_min,sd_min_time,sd_day_max,rn_day,swe,ta_avg,hm_avg,tw_avg,ws_avg,ta_sd_time,hm_sd_time,tw_sd_time,ws_sd_time
93.0,2024-02-24,1.5,2024-02-25 00:00:00,0.0,2024-02-24 22:00:00,1.5,2.1,1.2,0.5874999999999999,64.7,-2.1789572319664177,1.3375,-0.2666666666666666,91.93333333333334,-1.0385199948763255,0.1333333333333333
93.0,2024-02-25,4.0,2024-02-25 08:00:00,1.5,2024-02-25 00:00:00,2.5,1.5,1.5,1.35,82.23750000000001,-0.2394773172754338,0.5875,-0.4333333333333333,92.93333333333334,-1.1259513128769636,0.0444444444444444
93.0,2024-03-02,2.2,2024-03-03 00:00:00,0.0,2024-03-02 21:00:00,2.2,1.0,0.9,-3.2375,57.4,-5.830964825031927,2.125,-0.2249999999999999,87.1,-1.361842230542709,0.7499999999999999
93.0,2024-03-03,2.9,2024-03-03 02:00:00,2.2,2024-03-03 00:00:00,0.6999999999999997,0.8,0.6000000000000001,1.7875,64.175,-1.2336208568107494,1.6125,-0.2333333333333333,91.03333333333336,-1.0750184313272626,0.6333333333333333
93.0,2024-11-27,0.9,2024-11-27 07:00:00,0.0,2024-11-27 04:00:00,0.9,2.5,1.5,-0.7375,86.9625,-1.8647182867215504,2.15,-0.425,92.25,-1.1635348308880529,2.35
93.0,2024-11-28,0.5,2024-11-28 08:00:00,0.0,2024-11-28 01:00:00,0.5,0.3,0.3,0.45,75.3375,-1.5427523368644698,2.075,-0.4375,90.0875,-1.3487690050956385,1.875
93.0,2024-12-20,0.3,2024-12-21 00:00:00,0.0,2024-12-20 23:00:00,0.3,0.4,0.3,-3.4375,73.375,-5.382004724619234,0.45,-1.9,86.1,-3.0721352817236545,0.25
93.0,2024-12-21,3.7,2024-12-21 08:00:00,0.3,2024-12-21 03:00:00,3.4000000000000004,2.2,2.1,-2.0875,74.9,-3.886112689231961,0.8500000000000001,-1.5333333333333332,93.01666666666668,-2.209794388543738,0.5
93.0,2024-12-23,0.8,2024-12-23 18:00:00,0.5,2024-12-23 16:00:00,0.3,0.0,0.0,-6.1625000000000005,68.625,-8.29958648630878,0.8125,1.5333333333333334,41.13333333333333,-2.6899902950779087,0.8000000000000002
93.0,2025-01-05,6.8,2025-01-05 15:00:00,0.0,2025-01-05 06:00:00,6.8,5.0,4.8,-2.125,87.475,-3.1302017344734034,0.2875,-2.3200000000000003,89.89,-3.2120129211668056,0.49
93.0,2025-01-06,10.9,2025-01-06 06:00:00,5.9,2025-01-06 01:00:00,5.0,3.6,3.1,-0.5625,79.19999999999999,-2.166898867550976,1.125,-0.4000000000000001,94.73333333333332,-0.951797494475581,0.4833333333333333
93.0,2025-01-07,4.4,2025-01-07 01:00:00,4.3,2025-01-07 00:00:00,0.1000000000000005,0.0,0.0,-6.125,58.12500000000001,-8.584326064886696,1.9875,-5.15,66.5,-7.311314732537777,0.3
93.0,2025-01-13,3.9,2025-01-13 19:00:00,3.3,2025-01-13 10:00:00,0.6000000000000001,0.1,0.1,-6.75,83.95,-7.931921039711643,0.325,-4.12,78.34,-5.736615002801527,0.38
93.0,2025-01-14,5.0,2025-01-14 06:00:00,3.7,2025-01-14 02:00:00,1.2999999999999998,0.4,0.4,0.725,67.7125,-1.6615112501559497,1.525,-0.7000000000000001,92.58,-1.4158416312476496,0.44
93.0,2025-01-16,1.3,2025-01-16 18:00:00,0.4,2025-01-16 13:00:00,0.9,0.3,0.2,-6.6125,80.51249999999999,-7.913340529384412,0.2375,-3.1833333333333336,83.0,-4.522607610228788,0.6
93.0,2025-01-18,0.5,2025-01-18 01:00:00,0.4,2025-01-18 00:00:00,0.0999999999999999,0.0,0.0,-5.3,79.8625,-6.834352136385491,0.3375,-8.0,89.35,-8.843239896473797,0.3
93.0,2025-01-31,5.1,2025-01-31 20:00:00,4.7,2025-01-31 15:00:00,0.3999999999999994,0.2,0.2,-2.225,86.75,-3.3436434516452165,0.35,-2.0666666666666664,85.3,-3.291259904068106,0.2166666666666666
93.0,2025-02-01,5.1,2025-02-01 02:00:00,5.0,2025-02-01 01:00:00,0.0999999999999996,0.0,0.0,-2.0375000000000005,81.98750000000001,-3.5712387421509666,0.6875,-4.1,92.65,-4.782064854385217,0.4499999999999999
93.0,2025-02-04,1.0,2025-02-04 09:00:00,0.9,2025-02-04 08:00:00,0.0999999999999999,0.0,0.0,-10.5875,51.775000000000006,-12.578306120463342,1.775,-13.1,63.5,-14.672030394241018,0.95
93.0,2025-02-06,0.7,2025-02-06 06:00:00,0.5,2025-02-06 04:00:00,0.1999999999999999,0.0,0.0,-9.1875,60.225,-11.105003370040045,1.4249999999999998,-15.333333333333334,63.9,-16.71291365375164,0.5333333333333333
93.0,2025-02-07,0.9,2025-02-07 08:00:00,0.7,2025-02-07 06:00:00,0.2,0.2,0.2,-9.8625,52.5125,-11.727987203362538,2.425,-8.366666666666667,74.66666666666667,-9.93238383932418,1.8
93.0,2025-02-08,0.7,2025-02-08 02:00:00,0.6,2025-02-08 01:00:00,0.0999999999999999,0.0,0.0,-10.6,55.3,-12.62000625230768,0.7625,-14.95,66.9,-16.32745832812654,0.8
93.0,2025-02-09,0.5,2025-02-09 03:00:00,0.4,2025-02-09 02:00:00,0.0999999999999999,0.0,0.0,-7.95,61.2625,-10.18727603297108,0.875,-13.0,74.25,-14.340467374500552,0.5
